Index Name,Top 1 Success,Top 5 Success,Top 10 Success,Mean Search Duration,Median Search Duration,Standard Deviation,25th Percentile,50th Percentile (Median),75th Percentile,90th Percentile,Unnamed: 0,timestamp,load_datafreme_duration_s,build_index_duration_s
index_hnsw__euclidean_distance,89.3,94.1,94.5,0.3282901494503021,0.38614022731781006,0.09453579807621103,0.19950598478317255,0.38614022731781006,0.3963068127632141,0.40341792106628416,0,2024-06-22 20:13:12.031280,120.78828620910645,167.57206749916077
index_flat__euclidean_distance,89.3,94.1,94.5,0.40144102573394774,0.3984613418579101,0.05204993216244805,0.38922446966171265,0.3984613418579101,0.4078712463378906,0.4145301818847656,0,2024-06-22 18:03:14.100190,119.04226446151732,0.5077555179595947
index_ivf_flat__euclidean_distance,89.2,94.0,94.39999999999999,0.3326919798851013,0.38518023490905756,0.1263632236412747,0.19723063707351685,0.38518023490905756,0.39790600538253784,0.478804349899292,0,2024-06-22 18:30:07.875726,120.55051255226137,141.94074940681458
index_ivf_sq8__euclidean_distance,89.2,93.89999999999999,94.3,0.3134299259185791,0.3576898574829101,0.10860662674699934,0.19670242071151728,0.3576898574829101,0.3967671990394592,0.4205546140670776,0,2024-06-22 19:06:02.886476,119.72905445098876,139.95444679260254
index_flat__cosine_similarity,89.1,93.8,94.5,0.39984868478775026,0.3975170850753784,0.03312748472002221,0.39069527387619013,0.3975170850753784,0.4054518342018127,0.41205761432647703,0,2024-06-22 18:20:37.377839,119.35937571525574,0.506066083908081
index_hnsw__cosine_similarity,89.1,93.8,94.5,0.347421560049057,0.38887941837310785,0.0846288811392821,0.34881412982940674,0.38887941837310785,0.3971315622329712,0.40504910945892336,0,2024-06-22 20:37:34.581100,123.2619924545288,165.16770839691162
index_ivf_flat__cosine_similarity,89.0,93.60000000000001,94.19999999999999,0.4057263679504394,0.3969064950942993,0.046410746992337125,0.39488655328750605,0.3969064950942993,0.4016597270965576,0.456084394454956,0,2024-06-22 18:53:57.460763,120.21293354034424,123.27261924743652
index_ivf_sq8__cosine_similarity,88.8,93.4,94.3,0.30984995102882384,0.3726588487625122,0.10242636156372102,0.19705402851104734,0.3726588487625122,0.3965286612510681,0.3998175144195556,0,2024-06-22 19:29:09.887671,119.06454133987428,114.55352330207825
index_scann__euclidean_distance,88.0,92.30000000000001,92.60000000000001,0.3427156162261963,0.395153522491455,0.09142944632573004,0.22796535491943354,0.395153522491455,0.3976863622665405,0.41260547637939454,0,2024-06-22 20:49:28.176608,131.6565911769867,207.21292209625244
index_scann__cosine_similarity,87.0,90.60000000000001,90.8,0.31699844622612,0.38828039169311523,0.0999649469377457,0.19711852073669428,0.38828039169311523,0.396609902381897,0.4018378257751465,0,2024-06-22 21:14:57.998102,157.91586875915527,284.1789700984955
index_ivf_pq__euclidean_distance,11.0,19.0,21.6,0.33779039478302003,0.3943518400192261,0.09407319920341921,0.21868175268173212,0.3943518400192261,0.3971436023712158,0.41321897506713867,0,2024-06-22 19:39:33.172592,119.28649878501892,154.6869993209839
index_ivf_pq__cosine_similarity,2.8000000000000003,4.7,5.6000000000000005,0.32232708382606506,0.3915747404098511,0.10005880812442863,0.19725400209426877,0.3915747404098511,0.39672970771789545,0.40816996097564695,0,2024-06-22 20:02:32.565331,123.1903476715088,138.94194412231445
index_ivf_pq__inner_product,0.1,0.6,0.7000000000000001,0.30582130908966065,0.38126289844512934,0.10025132094695963,0.19667989015579218,0.38126289844512934,0.39651554822921753,0.398589539527893,0,2024-06-22 19:51:04.039098,120.23132157325745,186.5429813861847
index_ivf_flat__inner_product,0.1,0.8999999999999999,1.9,0.3985639522075653,0.3965815305709839,0.05545093171061477,0.39499515295028687,0.3965815305709839,0.3982319235801696,0.44057297706604004,0,2024-06-22 18:41:01.636206,119.58498930931091,175.0806655883789
index_ivf_sq8__inner_product,0.1,0.8,1.7999999999999998,0.3946684010028839,0.3964416980743408,0.039810127408742124,0.3954349756240844,0.3964416980743408,0.3975620865821838,0.41190640926361083,0,2024-06-22 19:16:31.961267,119.2274522781372,164.83767318725586
index_hnsw__inner_product,0.1,0.6,1.5,0.3223585109710693,0.38750576972961426,0.0965716935135599,0.1979763507843017,0.38750576972961426,0.39668852090835566,0.4032956838607788,0,2024-06-22 20:24:56.737598,126.57373642921448,220.0491373538971
index_flat__inner_product,0.1,0.6,1.5,0.3063255639076233,0.3731973171234131,0.10786065419809639,0.20091432332992548,0.3731973171234131,0.397391676902771,0.409389066696167,0,2024-06-22 18:12:42.357146,119.50090742111206,0.5082333087921143
index_scann__inner_product,0.1,1.5,3.1,0.3008516757488251,0.3629573583602905,0.10146642508585953,0.19655567407608027,0.3629573583602905,0.39643126726150507,0.398590612411499,0,2024-06-22 21:01:49.474137,146.4708001613617,258.06443095207214
